# LDORADO BOM Version 1.0
1;
2;V1;LSRC3_01;+;171 (g);~
2;V2;LSRC3_02;+;171 (g);~
0;Bezeichnung;VOBES-ID;Kurzname;xy;Teilenummer;Einh.;V1;V2
3;PET-Gewebe;SS_1;SS_1;5E;51036 PV2;mm;708;0
3;PET-Gewebe;SS_2;SS_2;7E;51036 PV2;mm;444;0
3;PET-Gewebe;SS_3;SS_3;8E;51036 PV2;mm;300;0
3;PET-Gewebe;SS_4;SS_4;7D;51036 PV2;mm;327;0
3;PET-Gewebe;SS_10;SS_10;5E;712-10002;mm;0;0
3;PET-Gewebe;SS_11;SS_11;7E;712-10002;mm;0;0
3;PET-Gewebe;SS_12;SS_12;8E;712-10002;mm;0;0
3;PET-Gewebe;SS_13;SS_13;7D;712-10002;mm;0;0
4;Kontakt;-;-;-;1-1703930-1;Stk.;1;1
4;Kontakt;-;-;-;2-1703930-1;Stk.;2;2
4;Kontakt;-;-;-;5-928999-1;Stk.;2;2
4;Kontakt;-;-;-;1241390-1;Stk.;4;4
4;Kontakt;-;-;-;2141824-1;Stk.;1;1
4;Kontakt;-;-;-;2298510-1;Stk.;2;2
3;Stecker Modul 2;ID_CON1;Stecker Modul 2;3E;2470648-9;Stk.;1;1
3;Stecker Modul 3;ID_CON2;Stecker Modul 3;4E;2470653-9;Stk.;1;1
3;Stecker Modul 1;ID_CON3;Stecker Modul 1;3E;2470646-9;Stk.;1;1
3;Umgehäuse;ID_ACC1;2470829-9;3C;2470829-9;Stk.;1;1
3;Cover;ID_ACC2;2470839-1;4C;2470839-1;Stk.;1;1
3;Stecker 10-Pol;ID_CON4;Stecker 10pol;9E;2302475-1;Stk.;1;1
3;Stecker 2 pol;ID_CON5;Stecker 2pol;7C;1418796-3;Stk.;1;1
3;MATE AX STECKER;ID_CON7;Stecker 1pol;6F;2-2310137-1;Stk.;1;1
3;T50SOSEC13E-PA66HS-BK;ID_FIX1;KB_01;6E;126-00000;Stk.;1;1
3;T50SOSEC13E-PA66HS-BK;ID_FIX2;KB_02;7E;126-00000;Stk.;1;1
